subset_name,subset_order,material_id,family,split,selection_role,source_manifest,source_row_index,sample_draw_rank
balanced_pool_set,0,JVASP-50332,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,6,625
balanced_pool_set,1,JVASP-98167,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,9,207
balanced_pool_set,2,JVASP-1390,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,18,1193
balanced_pool_set,3,JVASP-3534,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,27,583
balanced_pool_set,4,JVASP-98354,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,35,342
balanced_pool_set,5,JVASP-48232,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,42,1259
balanced_pool_set,6,JVASP-50396,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,43,1087
balanced_pool_set,7,JVASP-88825,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,46,1577
balanced_pool_set,8,JVASP-97500,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,53,185
balanced_pool_set,9,JVASP-49949,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,58,471
balanced_pool_set,10,JVASP-22671,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,90,681
balanced_pool_set,11,JVASP-49894,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,96,765
balanced_pool_set,12,JVASP-98801,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,100,1736
balanced_pool_set,13,JVASP-97338,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,106,36
balanced_pool_set,14,JVASP-43844,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,117,264
balanced_pool_set,15,JVASP-97505,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,125,1795
balanced_pool_set,16,JVASP-49779,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,126,1804
balanced_pool_set,17,JVASP-98619,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,128,439
balanced_pool_set,18,JVASP-98504,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,132,1414
balanced_pool_set,19,JVASP-38326,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,152,415
balanced_pool_set,20,JVASP-37208,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,153,1381
balanced_pool_set,21,JVASP-86443,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,158,484
balanced_pool_set,22,JVASP-48649,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,166,942
balanced_pool_set,23,JVASP-38283,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,188,169
balanced_pool_set,24,JVASP-98620,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,200,1028
balanced_pool_set,25,JVASP-42544,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,207,891
balanced_pool_set,26,JVASP-97865,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,224,1224
balanced_pool_set,27,JVASP-38515,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,228,1476
balanced_pool_set,28,JVASP-85793,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,231,1013
balanced_pool_set,29,JVASP-22560,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,241,329
balanced_pool_set,30,JVASP-98455,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,243,1588
balanced_pool_set,31,JVASP-42416,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,251,1306
balanced_pool_set,32,JVASP-42811,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,258,1593
balanced_pool_set,33,JVASP-97509,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,282,959
balanced_pool_set,34,JVASP-48475,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,298,2001
balanced_pool_set,35,JVASP-32,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,307,1821
balanced_pool_set,36,JVASP-43306,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,317,822
balanced_pool_set,37,JVASP-85718,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,319,211
balanced_pool_set,38,JVASP-98511,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,320,760
balanced_pool_set,39,JVASP-42633,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,333,836
balanced_pool_set,40,JVASP-97397,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,339,1151
balanced_pool_set,41,JVASP-97820,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,341,1835
balanced_pool_set,42,JVASP-98627,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,344,258
balanced_pool_set,43,JVASP-98057,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,349,1561
balanced_pool_set,44,JVASP-98513,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,359,1410
balanced_pool_set,45,JVASP-97877,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,387,542
balanced_pool_set,46,JVASP-32223,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,400,660
balanced_pool_set,47,JVASP-48811,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,406,518
balanced_pool_set,48,JVASP-98767,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,409,2
balanced_pool_set,49,JVASP-43076,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,410,1493
balanced_pool_set,50,JVASP-98466,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,420,861
balanced_pool_set,51,JVASP-98637,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,422,1586
balanced_pool_set,52,JVASP-97772,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,423,1145
balanced_pool_set,53,JVASP-44101,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,430,1724
balanced_pool_set,54,JVASP-98587,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,434,23
balanced_pool_set,55,JVASP-42815,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,441,794
balanced_pool_set,56,JVASP-98467,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,444,799
balanced_pool_set,57,JVASP-98250,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,452,558
balanced_pool_set,58,JVASP-48114,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,470,928
balanced_pool_set,59,JVASP-87128,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,472,1216
balanced_pool_set,60,JVASP-98528,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,474,1348
balanced_pool_set,61,JVASP-97453,oxide,train,oxide_random_sample_matched_to_nitride_pool,data_shared/oxide/manifests/pool.csv,475,782
