family,N,seed,epochs,best_val_epoch,best_val_l1,test_mae_eV_per_atom,png_path,pdf_path
oxide,10,0,100,1,0.01956799067556858,0.039181611567046595,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed0_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed0_training_curves.pdf
oxide,10,1,100,1,0.017015790566802025,0.03738551801858179,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed1_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed1_training_curves.pdf
oxide,10,2,100,1,0.006822490599006414,0.0346169774820639,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed2_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed2_training_curves.pdf
oxide,10,3,100,1,0.018746091052889824,0.035664592448947076,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed3_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed3_training_curves.pdf
oxide,10,4,100,1,0.030765151605010033,0.034483518048391656,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed4_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N10_seed4_training_curves.pdf
oxide,50,0,100,1,0.020502138882875443,0.039948824695982994,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed0_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed0_training_curves.pdf
oxide,50,1,100,46,0.011999714188277721,0.03981514029142715,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed1_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed1_training_curves.pdf
oxide,50,2,100,50,0.00755686778575182,0.03641726179854854,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed2_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed2_training_curves.pdf
oxide,50,3,100,59,0.01876967027783394,0.036178945496739855,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed3_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed3_training_curves.pdf
oxide,50,4,100,25,0.0324675552546978,0.03983125779253739,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed4_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N50_seed4_training_curves.pdf
oxide,100,0,100,75,0.012947022914886475,0.03622613992178662,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed0_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed0_training_curves.pdf
oxide,100,1,100,71,0.013160300441086292,0.03665948787536547,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed1_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed1_training_curves.pdf
oxide,100,2,100,94,0.007571387570351362,0.03647911185703072,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed2_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed2_training_curves.pdf
oxide,100,3,100,68,0.014668515883386135,0.035797426101313576,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed3_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed3_training_curves.pdf
oxide,100,4,100,27,0.026782888919115067,0.039097680906844234,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed4_training_curves.png,reports/Hyperparameter Set 3/Training Curves/Finetuning/oxide/oxide_N100_seed4_training_curves.pdf
