POSCAR-JVASP-36866.vasp,-2.02179
POSCAR-JVASP-8688.vasp,-0.32047
POSCAR-JVASP-42941.vasp,-2.43133
POSCAR-JVASP-50342.vasp,-0.94249
POSCAR-JVASP-47623.vasp,-1.49471
POSCAR-JVASP-56686.vasp,-3.0495
POSCAR-JVASP-18987.vasp,-1.43708
POSCAR-JVASP-111971.vasp,-1.64027
POSCAR-JVASP-4864.vasp,-3.34732
POSCAR-JVASP-30768.vasp,-1.96061
POSCAR-JVASP-101857.vasp,0.07337
POSCAR-JVASP-35180.vasp,-2.37267
POSCAR-JVASP-120566.vasp,-1.30218
POSCAR-JVASP-120525.vasp,-2.93135
POSCAR-JVASP-44484.vasp,-1.34492
POSCAR-JVASP-115116.vasp,-1.72752
POSCAR-JVASP-42840.vasp,-2.63797
POSCAR-JVASP-10655.vasp,-2.15267
POSCAR-JVASP-11817.vasp,-0.68038
POSCAR-JVASP-89103.vasp,-1.49958
POSCAR-JVASP-22879.vasp,-2.46045
POSCAR-JVASP-48213.vasp,-2.11211
POSCAR-JVASP-53587.vasp,-3.14043
POSCAR-JVASP-7968.vasp,-0.87279
POSCAR-JVASP-2778.vasp,-1.73363
POSCAR-JVASP-46010.vasp,-2.6886
POSCAR-JVASP-20820.vasp,-3.23231
POSCAR-JVASP-51619.vasp,-1.52098
POSCAR-JVASP-57262.vasp,-2.29105
POSCAR-JVASP-91318.vasp,-3.20599
POSCAR-JVASP-49579.vasp,-2.75192
POSCAR-JVASP-109209.vasp,-1.14604
POSCAR-JVASP-39097.vasp,-0.72256
POSCAR-JVASP-11482.vasp,-1.16382
POSCAR-JVASP-34661.vasp,-3.58199
POSCAR-JVASP-86960.vasp,-2.02568
POSCAR-JVASP-90228.vasp,0.01013
POSCAR-JVASP-8376.vasp,-1.43062
POSCAR-JVASP-34264.vasp,-2.07366
POSCAR-JVASP-97853.vasp,-1.94364
POSCAR-JVASP-11610.vasp,-1.94731
POSCAR-JVASP-120166.vasp,-1.65271
POSCAR-JVASP-21497.vasp,-2.90034
POSCAR-JVASP-9278.vasp,-1.76006
POSCAR-JVASP-7760.vasp,-3.35197
POSCAR-JVASP-119704.vasp,-1.67204
POSCAR-JVASP-97666.vasp,-1.43717
POSCAR-JVASP-17602.vasp,0.24469
POSCAR-JVASP-85795.vasp,-1.69999
POSCAR-JVASP-11273.vasp,-1.45037
POSCAR-JVASP-116829.vasp,-2.30975
POSCAR-JVASP-35156.vasp,-0.81365
POSCAR-JVASP-10048.vasp,-1.66416
POSCAR-JVASP-112029.vasp,-0.74792
POSCAR-JVASP-42987.vasp,-1.94437
POSCAR-JVASP-48919.vasp,-1.22386
POSCAR-JVASP-8053.vasp,-2.84105
POSCAR-JVASP-118608.vasp,-1.07479
POSCAR-JVASP-99867.vasp,-1.73921
POSCAR-JVASP-10319.vasp,-1.51323
POSCAR-JVASP-57724.vasp,-3.06499
POSCAR-JVASP-44554.vasp,-2.46889
POSCAR-JVASP-79795.vasp,-1.44738
POSCAR-JVASP-10852.vasp,-1.93571
POSCAR-JVASP-51702.vasp,-1.46272
POSCAR-JVASP-49798.vasp,-2.09695
POSCAR-JVASP-97538.vasp,-1.45924
POSCAR-JVASP-11673.vasp,-3.18441
POSCAR-JVASP-12646.vasp,-1.47279
POSCAR-JVASP-104165.vasp,-0.0342
POSCAR-JVASP-119518.vasp,-2.40028
POSCAR-JVASP-10321.vasp,-2.72014
POSCAR-JVASP-110730.vasp,-2.68168
POSCAR-JVASP-111675.vasp,-1.31643
POSCAR-JVASP-46741.vasp,-2.20255
POSCAR-JVASP-55301.vasp,-2.76602
POSCAR-JVASP-40245.vasp,-1.15315
POSCAR-JVASP-20849.vasp,-2.36873
POSCAR-JVASP-49880.vasp,-2.36099
POSCAR-JVASP-99055.vasp,-2.37281
POSCAR-JVASP-92255.vasp,-1.97918
POSCAR-JVASP-4828.vasp,-2.73874
POSCAR-JVASP-52963.vasp,-2.50207
POSCAR-JVASP-106931.vasp,-2.50344
POSCAR-JVASP-42946.vasp,-2.64856
POSCAR-JVASP-9500.vasp,-2.19412
