POSCAR-JVASP-1678.vasp,-1.56696
POSCAR-JVASP-62575.vasp,-1.5793
POSCAR-JVASP-7667.vasp,-0.78899
POSCAR-JVASP-52840.vasp,-0.55483
POSCAR-JVASP-10878.vasp,-1.33013
POSCAR-JVASP-118591.vasp,-0.79065
POSCAR-JVASP-8177.vasp,0.30944
POSCAR-JVASP-1279.vasp,-2.11365
POSCAR-JVASP-86206.vasp,-0.03986
POSCAR-JVASP-105560.vasp,-0.54764
POSCAR-JVASP-118844.vasp,-0.21779
POSCAR-JVASP-101248.vasp,0.00207
POSCAR-JVASP-8289.vasp,-0.28554
POSCAR-JVASP-103809.vasp,-0.05473
POSCAR-JVASP-92707.vasp,1.79429
POSCAR-JVASP-115424.vasp,0.3999
POSCAR-JVASP-15941.vasp,-1.35424
POSCAR-JVASP-32456.vasp,-1.74692
POSCAR-JVASP-36535.vasp,0.53845
POSCAR-JVASP-120345.vasp,3.80193
POSCAR-JVASP-12552.vasp,-0.50395
POSCAR-JVASP-36559.vasp,0.309
POSCAR-JVASP-19896.vasp,-1.13291
POSCAR-JVASP-8278.vasp,-0.08188
POSCAR-JVASP-79513.vasp,0.77385
POSCAR-JVASP-33316.vasp,-0.33844
POSCAR-JVASP-119677.vasp,-0.75916
POSCAR-JVASP-107583.vasp,-0.37924
POSCAR-JVASP-30462.vasp,0.29215
POSCAR-JVASP-91584.vasp,-0.34097
POSCAR-JVASP-118925.vasp,-0.11802
POSCAR-JVASP-90893.vasp,0.04722
POSCAR-JVASP-24968.vasp,-2.23735
POSCAR-JVASP-106386.vasp,-0.25112
POSCAR-JVASP-101092.vasp,-1.48594
POSCAR-JVASP-89319.vasp,0.15534
POSCAR-JVASP-37010.vasp,-1.01684
POSCAR-JVASP-108733.vasp,-0.85494
POSCAR-JVASP-33330.vasp,-1.08873
POSCAR-JVASP-78387.vasp,1.90424
POSCAR-JVASP-110303.vasp,-0.69979
POSCAR-JVASP-103577.vasp,-1.5371
POSCAR-JVASP-36295.vasp,0.63721
POSCAR-JVASP-114135.vasp,0.58072
POSCAR-JVASP-4522.vasp,-0.09356
POSCAR-JVASP-115477.vasp,-0.07769
POSCAR-JVASP-14870.vasp,0.51372
POSCAR-JVASP-1180.vasp,0.00906
POSCAR-JVASP-97824.vasp,0.36027
POSCAR-JVASP-120053.vasp,0.47774
POSCAR-JVASP-7921.vasp,-1.10968
POSCAR-JVASP-114771.vasp,0.78567
POSCAR-JVASP-16024.vasp,0.18335
POSCAR-JVASP-122036.vasp,-0.82652
POSCAR-JVASP-25172.vasp,0.00112
POSCAR-JVASP-120301.vasp,2.87918
POSCAR-JVASP-102236.vasp,-0.22673
POSCAR-JVASP-92373.vasp,-0.18657
POSCAR-JVASP-114259.vasp,0.63662
POSCAR-JVASP-114340.vasp,-0.12182
POSCAR-JVASP-101109.vasp,-1.49611
POSCAR-JVASP-78362.vasp,1.0265
POSCAR-JVASP-79204.vasp,-1.31808
POSCAR-JVASP-56612.vasp,-1.33935
POSCAR-JVASP-86537.vasp,-0.29816
POSCAR-JVASP-18495.vasp,-0.849
POSCAR-JVASP-117873.vasp,3.42583
POSCAR-JVASP-17177.vasp,-1.76073
POSCAR-JVASP-57790.vasp,-0.24033
POSCAR-JVASP-116318.vasp,0.56354
POSCAR-JVASP-117937.vasp,2.39555
POSCAR-JVASP-92167.vasp,-0.21264
POSCAR-JVASP-86418.vasp,-0.90765
