family,N,seed_0,seed_1,seed_2,seed_3,seed_4
nitride,10,0.07067077369082811,0.07025745102350624,0.07020277259794395,0.07024279590080346,0.07042379825845484
nitride,50,0.07117980948749407,0.06995458633846734,0.0703602901713784,0.06974809360497992,0.06987025290881553
nitride,100,0.07073338592255657,0.07098397485573184,0.07112601237017507,0.07039275122729462,0.07057069789248803
nitride,200,0.07114553319921424,0.0719705977946643,0.07099642951718786,0.07121755943964582,0.07101444409744552
nitride,500,0.07644698838895757,0.0765874094352865,0.07563501409416602,0.07394608368034944,0.0760989828835711
nitride,1000,0.0735260474087655,0.07493703956292434,0.07478615018916278,0.07407090419610916,0.07573349266659377
oxide,10,0.03848427807836294,0.041560297928068965,0.03435402484896224,0.035108335934814085,0.03431899584387366
oxide,50,0.03577116215736492,0.03870001571165709,0.03655870014131998,0.03549485340713827,0.035147075185952635
oxide,100,0.036476792690608995,0.04120039815698798,0.03754389145793745,0.03629594091956712,0.0385644980199507
oxide,200,0.03642144354485161,0.036149101935087316,0.036034340870590514,0.036419776753576424,0.03833693556937532
oxide,500,0.03670885738796828,0.0359740200061213,0.0358631838110873,0.035934722790151905,0.03642373801992875
oxide,1000,0.03524460791967272,0.0355113156202922,0.035540111635145144,0.03553942747673301,0.03559734935717246
